Motion Sum,Fused Angle X,Fused Angle Y,Gyro Angle Z,Amplitude,Label
0.0,-0.012435676,-0.008444894,0.010648603,0.0,0
0.0,-0.012447703,-0.00845459,0.010758558,0.0,0
0.0,-0.012460664,-0.008465453,0.010883175,0.0,0
0.0,-0.01249597,-0.008487876,0.0109931305,0.0,0
0.0,-0.01252738,-0.008507811,0.011090869,0.0,0
0.0,-0.012558581,-0.008527708,0.011188608,0.0,0
0.0,-0.012591425,-0.008548792,0.011292455,0.0,0
0.0,-0.012624102,-0.008569845,0.011396302,0.0,0
0.0,-0.0126547925,-0.008589648,0.0114940405,0.0,0
0.0,-0.012593717,-0.008569107,0.011597888,0.0,0
0.0,-0.012536183,-0.008549765,0.011695626,0.0,0
0.0,-0.012474874,-0.008529181,0.011799473,0.0,0
0.0,-0.0124098,-0.008507357,0.011909429,0.0,0
0.0,-0.012351965,-0.008487959,0.012007168,0.05930651,0
0.0,-0.012294049,-0.008468547,0.012104906,0.05930651,0
0.0,-0.012160313,-0.008441791,0.012373687,0.05930651,0
0.0,-0.012090653,-0.008427851,0.012514186,0.05930651,0
0.0,-0.012039261,-0.008417565,0.012618033,0.05930651,0
0.0,-0.011993924,-0.008408491,0.012709663,0.05930651,0
0.0,-0.011973585,-0.008367032,0.0127719715,0.05930651,0
0.0,-0.011953202,-0.008325565,0.01283428,0.05930651,0
0.0,-0.011934003,-0.008286535,0.012892923,0.05930651,0
0.0,-0.011913546,-0.008245054,0.012955232,0.05930651,0
0.0,-0.011893059,-0.008203567,0.01301754,0.05930651,0
0.0,-0.011873766,-0.0081645185,0.013076183,0.05930651,0
0.0,-0.01184284,-0.008143792,0.013159261,0.05930651,0
0.0,-0.0118118925,-0.008123061,0.013242339,0.05930651,0
0.0,-0.011782756,-0.008103548,0.01332053,0.05930651,0
0.0,-0.011751768,-0.008082809,0.0134036075,0.05930651,0
0.0,-0.011720764,-0.008062067,0.013486685,0.05930651,0
0.0,-0.011691578,-0.008042545,0.013564876,0.05930651,0
0.0,-0.011681315,-0.008073721,0.013689493,0.05930651,0
0.0,-0.01167104,-0.008104896,0.013814109,0.05930651,0
0.0,-0.011661364,-0.008134237,0.0139313955,0.05930651,0
0.0,-0.011651068,-0.008165407,0.014056012,0.05930651,0
0.0,-0.011640764,-0.0081965765,0.014180629,0.05930651,0
0.0,-0.011631061,-0.00822591,0.014297915,0.05930651,0
0.0,-0.011620741,-0.008257077,0.014422531,0.05930651,0
0.0,-0.011600031,-0.008205164,0.014505609,0.05930651,0
0.0,-0.011580535,-0.008156305,0.0145838,0.05930651,0
0.0,-0.011559812,-0.0081043895,0.014666878,0.05930651,0
0.0,-0.011539086,-0.008052474,0.014749955,0.05930651,0
0.0,-0.0115195755,-0.008003612,0.014828146,0.05930651,0
0.0,-0.0114988405,-0.007951695,0.014911224,0.05930651,0
0.0,-0.011467718,-0.00797247,0.01505661,0.05930651,0
0.0,-0.011438424,-0.007992023,0.015193444,0.05930651,0
0.0,-0.011407295,-0.008012797,0.01533883,0.05930651,0
0.0,-0.011376164,-0.00803357,0.015484216,0.05930651,0
0.0,-0.011346863,-0.008053122,0.015621049,0.05930651,0
0.0,-0.011315728,-0.008073894,0.015766434,0.05930651,0
0.0,-0.011315743,-0.008053128,0.015828742,0.05930651,0
0.0,-0.011315758,-0.008033583,0.015887385,0.05930651,0
0.0,-0.011315771,-0.008012816,0.015949693,0.05930651,0
0.0,-0.0113157835,-0.007992049,0.016012,0.05930651,0
0.0,-0.011315795,-0.007972503,0.016070643,0.05930651,0
0.0,-0.011315804,-0.0079517355,0.01613295,0.05930651,0
0.0,-0.011284659,-0.007951737,0.01617449,0.05930651,0
0.0,-0.011255345,-0.007951739,0.016213585,0.05930651,0
0.0,-0.011224198,-0.00795174,0.016255124,0.05930651,0
0.0,-0.011193051,-0.007951741,0.016296662,0.05930651,0
0.0,-0.011163735,-0.007951742,0.016335757,0.05930651,0
0.0,-0.011132587,-0.007951743,0.016377296,0.05930651,0
0.0,-0.011205284,-0.00792059,0.016522681,0.05930651,0
0.0,-0.0112737045,-0.007891269,0.016659515,0.05930651,0
0.0,-0.011346401,-0.007860116,0.0168049,0.05930651,0
0.0,-0.011419097,-0.007828963,0.016950285,0.05930651,0
0.0,-0.011487517,-0.007799641,0.017087119,0.05930651,0
0.0,-0.011560212,-0.007768487,0.017232504,0.05930651,0
0.0,-0.011632907,-0.007737333,0.017377889,0.05930651,0
0.0,-0.01159137,-0.007737333,0.017502505,0.05930651,0
0.0,-0.011549833,-0.007737333,0.017627122,0.05930651,0
0.0,-0.011508296,-0.007737333,0.017751738,0.05930651,0
0.0,-0.011469203,-0.007737333,0.017869025,0.05930651,0
0.0,-0.011430109,-0.007737333,0.017986313,0.05930651,0
0.0,-0.011388572,-0.007737333,0.018110929,0.05930651,0
0.0,-0.011367803,-0.0076854094,0.018214775,0.05930651,0
0.0,-0.011347035,-0.007633486,0.018318621,0.05930651,0
0.0,-0.011327488,-0.0075846165,0.01841636,0.05930651,0
0.0,-0.01130672,-0.007532693,0.018520206,0.05930651,0
0.0,-0.011285951,-0.0074807694,0.018624052,0.05930651,0
0.0,-0.011266405,-0.0074319006,0.018721791,0.05930651,0
0.0,-0.011193713,-0.0073903617,0.018804869,0.05930651,0
0.0,-0.011116744,-0.0073463796,0.018892834,0.05930651,0
0.0,-0.011044052,-0.0073048407,0.018975912,0.05930651,0
0.0,-0.010979911,-0.0072681885,0.019049216,0.05930651,0
0.0,-0.01090722,-0.0072266497,0.019132294,0.05930651,0
0.0,-0.010838803,-0.007187554,0.019210484,0.05930651,0
0.0,-0.010807649,-0.007125246,0.019355869,0.05930651,0
0.0,-0.010778328,-0.007066603,0.019492703,0.05930651,0
0.0,-0.010747175,-0.0070042945,0.019638088,0.05930651,0
0.0,-0.010716021,-0.0069419863,0.019783473,0.05930651,0
0.0,-0.010684868,-0.006879678,0.019928858,0.05930651,0
0.0,-0.010655547,-0.006821035,0.020065691,0.05930651,0
0.0,-0.010635999,-0.006821035,0.02016343,0.05930651,0
0.0,-0.01061523,-0.006821035,0.020267276,0.05930651,0
0.0,-0.01059446,-0.006821035,0.020371122,0.05930651,0
0.0,-0.010574913,-0.006821035,0.02046886,0.05930651,0
0.0,-0.010554144,-0.006821035,0.020572707,0.05930651,0
0.0,-0.010533375,-0.006821035,0.020676553,0.05930651,0
0.0,-0.0105229905,-0.006779496,0.02073886,0.05930651,0
0.0,-0.010513216,-0.0067404006,0.020797504,0.05930651,0
0.0,-0.010502832,-0.0066988617,0.020859811,0.05930651,0
0.0,-0.010491837,-0.0066548795,0.020925784,0.05930651,0
0.0,-0.0104826735,-0.006618228,0.020980762,0.05930651,0
0.0,-0.010472289,-0.006576689,0.02104307,0.05930651,0
0.0,-0.010462515,-0.0065375934,0.021101713,0.05930651,0
0.0,-0.010431361,-0.0065272087,0.02122633,0.05930651,0
0.0,-0.010400208,-0.006516824,0.021350946,0.05930651,0
0.0,-0.010370886,-0.0065070502,0.021468233,0.05930651,0
0.0,-0.010339732,-0.0064966655,0.02159285,0.05930651,0
